PassengerNumber;Name;Destination;GateNum;Arrival;Departure
67;Passenger67;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
68;Passenger68;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
69;Passenger69;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
70;Passenger70;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
71;Passenger71;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
72;Passenger72;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
73;Passenger73;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
74;Passenger74;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
75;Passenger75;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
76;Passenger76;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
77;Passenger77;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
78;Passenger78;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
79;Passenger79;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
80;Passenger80;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
81;Passenger81;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
82;Passenger82;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
83;Passenger83;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
84;Passenger84;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
85;Passenger85;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
86;Passenger86;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
87;Passenger87;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
88;Passenger88;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
89;Passenger89;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
90;Passenger90;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
91;Passenger91;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
92;Passenger92;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
93;Passenger93;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
94;Passenger94;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
95;Passenger95;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
96;Passenger96;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
97;Passenger97;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
98;Passenger98;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
99;Passenger99;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
100;Passenger100;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
101;Passenger101;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
102;Passenger102;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
103;Passenger103;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
104;Passenger104;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
105;Passenger105;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
106;Passenger106;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
107;Passenger107;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
108;Passenger108;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
109;Passenger109;STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
110;Passenger110;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
111;Passenger111;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
112;Passenger112;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
113;Passenger113;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
114;Passenger114;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
115;Passenger115;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
116;Passenger116;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
117;Passenger117;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
118;Passenger118;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
119;Passenger119;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
120;Passenger120;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
121;Passenger121;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
122;Passenger122;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
123;Passenger123;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
124;Passenger124;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
125;Passenger125;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
126;Passenger126;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
127;Passenger127;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
128;Passenger128;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
129;Passenger129;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
130;Passenger130;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
131;Passenger131;CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
132;Passenger132;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
133;Passenger133;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
134;Passenger134;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
135;Passenger135;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
136;Passenger136;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
137;Passenger137;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
138;Passenger138;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
139;Passenger139;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
140;Passenger140;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
141;Passenger141;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
142;Passenger142;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
143;Passenger143;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
144;Passenger144;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
145;Passenger145;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
146;Passenger146;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
147;Passenger147;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
148;Passenger148;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
149;Passenger149;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
150;Passenger150;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
151;Passenger151;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
152;Passenger152;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
153;Passenger153;LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
154;Passenger154;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
155;Passenger155;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
156;Passenger156;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
157;Passenger157;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
158;Passenger158;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
159;Passenger159;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
160;Passenger160;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
161;Passenger161;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
162;Passenger162;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
163;Passenger163;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
164;Passenger164;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
165;Passenger165;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
166;Passenger166;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
167;Passenger167;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
168;Passenger168;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
169;Passenger169;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
170;Passenger170;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
171;Passenger171;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
172;Passenger172;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
173;Passenger173;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
174;Passenger174;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
175;Passenger175;STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
176;Passenger176;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
177;Passenger177;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
178;Passenger178;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
179;Passenger179;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
180;Passenger180;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
181;Passenger181;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
182;Passenger182;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
183;Passenger183;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
184;Passenger184;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
185;Passenger185;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
186;Passenger186;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
187;Passenger187;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
188;Passenger188;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
189;Passenger189;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
190;Passenger190;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
191;Passenger191;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
192;Passenger192;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
193;Passenger193;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
194;Passenger194;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
195;Passenger195;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
196;Passenger196;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
197;Passenger197;CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
198;Passenger198;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
199;Passenger199;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
200;Passenger200;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
201;Passenger201;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
202;Passenger202;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
203;Passenger203;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
204;Passenger204;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
205;Passenger205;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
206;Passenger206;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
207;Passenger207;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
208;Passenger208;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
209;Passenger209;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
210;Passenger210;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
211;Passenger211;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
212;Passenger212;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
213;Passenger213;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
214;Passenger214;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
215;Passenger215;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
216;Passenger216;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
217;Passenger217;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
218;Passenger218;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
219;Passenger219;LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
220;Passenger220;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
221;Passenger221;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
222;Passenger222;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
223;Passenger223;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
224;Passenger224;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
225;Passenger225;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
226;Passenger226;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
227;Passenger227;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
228;Passenger228;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
229;Passenger229;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
230;Passenger230;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
231;Passenger231;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
232;Passenger232;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
233;Passenger233;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
234;Passenger234;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
235;Passenger235;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
236;Passenger236;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
237;Passenger237;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
238;Passenger238;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
239;Passenger239;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
240;Passenger240;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
241;Passenger241;STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
242;Passenger242;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
243;Passenger243;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
244;Passenger244;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
245;Passenger245;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
246;Passenger246;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
247;Passenger247;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
248;Passenger248;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
249;Passenger249;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
250;Passenger250;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
251;Passenger251;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
252;Passenger252;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
253;Passenger253;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
254;Passenger254;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
255;Passenger255;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
256;Passenger256;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
257;Passenger257;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
258;Passenger258;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
259;Passenger259;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
260;Passenger260;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
261;Passenger261;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
262;Passenger262;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
263;Passenger263;CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
264;Passenger264;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
265;Passenger265;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
266;Passenger266;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
267;Passenger267;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
268;Passenger268;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
269;Passenger269;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
270;Passenger270;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
271;Passenger271;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
272;Passenger272;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
273;Passenger273;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
274;Passenger274;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
275;Passenger275;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
276;Passenger276;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
277;Passenger277;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
278;Passenger278;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
279;Passenger279;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
280;Passenger280;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
281;Passenger281;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
282;Passenger282;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
283;Passenger283;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
284;Passenger284;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
285;Passenger285;LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
286;Passenger286;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
287;Passenger287;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
288;Passenger288;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
289;Passenger289;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
290;Passenger290;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
291;Passenger291;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
292;Passenger292;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
293;Passenger293;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
294;Passenger294;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
295;Passenger295;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
296;Passenger296;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
297;Passenger297;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
298;Passenger298;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
299;Passenger299;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
300;Passenger300;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
301;Passenger301;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
302;Passenger302;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
303;Passenger303;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
304;Passenger304;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
305;Passenger305;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
306;Passenger306;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
307;Passenger307;STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
308;Passenger308;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
309;Passenger309;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
310;Passenger310;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
311;Passenger311;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
312;Passenger312;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
313;Passenger313;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
314;Passenger314;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
315;Passenger315;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
316;Passenger316;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
317;Passenger317;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
318;Passenger318;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
319;Passenger319;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
320;Passenger320;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
321;Passenger321;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
322;Passenger322;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
323;Passenger323;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
324;Passenger324;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
325;Passenger325;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
326;Passenger326;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
327;Passenger327;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
328;Passenger328;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
329;Passenger329;CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
330;Passenger330;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
331;Passenger331;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
332;Passenger332;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
333;Passenger333;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
334;Passenger334;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
335;Passenger335;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
336;Passenger336;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
337;Passenger337;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
338;Passenger338;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
339;Passenger339;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
340;Passenger340;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
341;Passenger341;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
342;Passenger342;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
343;Passenger343;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
344;Passenger344;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
345;Passenger345;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
346;Passenger346;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
347;Passenger347;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
348;Passenger348;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
349;Passenger349;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
350;Passenger350;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
351;Passenger351;LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
352;Passenger352;STO;2;22-03-2021 09:25:17;22-03-2021 09:25:27
353;Passenger353;STO;2;22-03-2021 09:25:17;22-03-2021 09:25:27
